file_name,project_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
C:\mined_repos\TissueMAPS\TmDeploy\elasticluster\elasticluster\share\playbooks\roles\postgresql\tests\playbook.yml,TissueMAPS_TmDeploy,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\TissueMAPS\TmDeploy\elasticluster\elasticluster\share\playbooks\roles\postgresql\tests\vars.yml,TissueMAPS_TmDeploy,0.0,0.0,0.0,0.0,1.0
C:\mined_repos\TissueMAPS\TmDeploy\elasticluster\tests\release_tests.py,TissueMAPS_TmDeploy,0.0,0.0,0.0,2.0,1.0
C:\mined_repos\TissueMAPS\TmDeploy\elasticluster\tests\test_cluster.py,TissueMAPS_TmDeploy,0.0,0.0,7.0,0.0,1.0
C:\mined_repos\TissueMAPS\TmDeploy\elasticluster\tests\test_cluster_node.py,TissueMAPS_TmDeploy,0.0,0.0,4.0,0.0,1.0
C:\mined_repos\TissueMAPS\TmDeploy\elasticluster\tests\test_conf.py,TissueMAPS_TmDeploy,0.0,0.0,1.0,17.0,1.0
C:\mined_repos\TissueMAPS\TmDeploy\elasticluster\tests\test_config_reader.py,TissueMAPS_TmDeploy,0.0,0.0,2.0,12.0,1.0
C:\mined_repos\TissueMAPS\TmDeploy\elasticluster\tests\test_repository.py,TissueMAPS_TmDeploy,0.0,0.0,6.0,4.0,0.0
C:\mined_repos\TissueMAPS\TmDeploy\elasticluster\tests\providers\test_ec2_boto.py,TissueMAPS_TmDeploy,0.0,0.0,3.0,1.0,1.0
C:\mined_repos\TissueMAPS\TmDeploy\elasticluster\tests\_helpers\config.py,TissueMAPS_TmDeploy,0.0,0.0,0.0,7.0,1.0
C:\mined_repos\TissueMAPS\TmDeploy\elasticluster\tests\_helpers\docker_session.py,TissueMAPS_TmDeploy,0.0,0.0,1.0,2.0,1.0
C:\mined_repos\TissueMAPS\TmDeploy\elasticluster\tests\_helpers\__init__.py,TissueMAPS_TmDeploy,0.0,0.0,0.0,0.0,1.0
